
  Branyiszkó út 11 B - 11/G 	  Folyamatos házszámok 	M01_T002_S021
  Branyiszkó út 13 - 21 	  Folyamatos házszámok 	M01_T002_S021
  Gábor Áron utca 1 - 11/B 	  Páratlan házszámok 	M01_T002_S021
  Gábor Áron utca 2 - 32 	  Páros házszámok 	M01_T002_S021
  Guyon köz 	  Teljes közterület 	M01_T002_S021
  Guyon Richárd utca 	  Teljes közterület 	M01_T002_S021
  Házmán utca 	  Teljes közterület 	M01_T002_S021
  Küküllő utca 	  Teljes közterület 	M01_T002_S021
  Orló utca 	  Páros házszámok 	M01_T002_S021
  Pasaréti út 53 - 69 1 1 	  Páratlan házszámok 	M01_T002_S021
  Pasaréti út 56 - 70 	  Páros házszámok 	M01_T002_S021
  Pázsit utca 	  Teljes közterület 	M01_T002_S021
  Szilágyi Erzsébet fasor 113 - 123 	  Folyamatos házszámok 	M01_T002_S021
  Virág árok 11 - 11 	  Folyamatos házszámok 	M01_T002_S021
  Branyiszkó út 11 B - 11/G 	  Folyamatos házszámok 	M01_T002_S021
  Branyiszkó út 13 - 21 	  Folyamatos házszámok 	M01_T002_S021
  Gábor Áron utca 1 - 11/B 	  Páratlan házszámok 	M01_T002_S021
  Gábor Áron utca 2 - 32 	  Páros házszámok 	M01_T002_S021
  Guyon köz 	  Teljes közterület 	M01_T002_S021
  Guyon Richárd utca 	  Teljes közterület 	M01_T002_S021
  Házmán utca 	  Teljes közterület 	M01_T002_S021
  Küküllő utca 	  Teljes közterület 	M01_T002_S021
  Orló utca 	  Páros házszámok 	M01_T002_S021
  Pasaréti út 53 - 69 1 1 	  Páratlan házszámok 	M01_T002_S021
  Pasaréti út 56 - 70 	  Páros házszámok 	M01_T002_S021
  Pázsit utca 	  Teljes közterület 	M01_T002_S021
  Szilágyi Erzsébet fasor 113 - 123 	  Folyamatos házszámok 	M01_T002_S021
  Virág árok 11 - 11 	  Folyamatos házszámok 	M01_T002_S021
